loggingTime(txt),loggingSample(N),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s)
2023-02-01T17:00:33.175-06:00,1193,199629.5629291667,-0.9694976806640625,0.30029296875,-0.2330169677734375,199629.5391971667,0.7804822325706482,-0.274476557970047,0.5809371471405029
2023-02-01T17:00:33.205-06:00,1194,199629.596653,-1.028884887695312,0.2418060302734375,-0.27874755859375,199629.572922,0.5523436069488525,-0.2738637626171112,0.6378795504570007
2023-02-01T17:00:33.240-06:00,1195,199629.630378,-1.018753051757812,0.203887939453125,-0.2785491943359375,199629.606646,0.4344084560871124,-0.1370763629674911,0.5070674419403076
2023-02-01T17:00:33.275-06:00,1196,199629.664102,-0.991973876953125,0.20819091796875,-0.2542572021484375,199629.64037,0.3422300517559052,-0.03965526819229126,0.3409373462200165
2023-02-01T17:00:33.310-06:00,1197,199629.697827,-0.930145263671875,0.2306365966796875,-0.2545318603515625,199629.674095,0.2078765034675598,0.004179564770311117,0.2178835868835449
2023-02-01T17:00:33.342-06:00,1198,199629.731551,-0.8931427001953125,0.2167205810546875,-0.2393646240234375,199629.707819,0.1792363375425339,-0.01433499716222286,0.2329187393188477
2023-02-01T17:00:33.375-06:00,1199,199629.765275,-0.9257354736328125,0.1707611083984375,-0.198638916015625,199629.741543,0.1819309145212173,-0.08664807677268982,0.2720227241516113
2023-02-01T17:00:33.410-06:00,1200,199629.799,-0.9496307373046875,0.154144287109375,-0.1806793212890625,199629.775268,0.06589752435684204,-0.1727821677923203,0.1681008636951447
2023-02-01T17:00:33.445-06:00,1201,199629.832724,-0.9358062744140625,0.1412200927734375,-0.198577880859375,199629.808992,-0.2162065953016281,-0.168150931596756,0.00347489258274436
2023-02-01T17:00:33.475-06:00,1202,199629.866448,-0.9032135009765625,0.1207733154296875,-0.2114410400390625,199629.842716,-0.4430248439311981,-0.1121766045689583,-0.1645692437887192
2023-02-01T17:00:33.510-06:00,1203,199629.900173,-0.8914337158203125,0.1063995361328125,-0.221771240234375,199629.876441,-0.5689207315444946,-0.1218785047531128,-0.3250625133514404
2023-02-01T17:00:33.544-06:00,1204,199629.933897,-0.8653564453125,0.10479736328125,-0.225555419921875,199629.910165,-0.6540041565895081,-0.1489553898572922,-0.5082075595855713
2023-02-01T17:00:33.586-06:00,1205,199629.967621,-0.8375244140625,0.148162841796875,-0.2392730712890625,199629.943889,-0.7672215700149536,-0.1248388737440109,-0.665291965007782
2023-02-01T17:00:33.610-06:00,1206,199630.001346,-0.8532257080078125,0.201141357421875,-0.26031494140625,199629.977614,-0.8685806393623352,-0.142186164855957,-0.683584451675415
2023-02-01T17:00:33.644-06:00,1207,199630.03507,-0.897186279296875,0.1856689453125,-0.293792724609375,199630.011338,-0.9102708697319031,-0.2136528939008713,-0.5490702986717224
2023-02-01T17:00:33.680-06:00,1208,199630.068794,-0.8974151611328125,0.10272216796875,-0.325103759765625,199630.045062,-0.9519559741020203,-0.2685068249702454,-0.4285966157913208
2023-02-01T17:00:33.715-06:00,1209,199630.102519,-0.8775787353515625,0.0297698974609375,-0.3574371337890625,199630.078787,-0.9962438344955444,-0.1751776784658432,-0.4114117920398712
2023-02-01T17:00:33.744-06:00,1210,199630.136243,-0.8546600341796875,0.0053253173828125,-0.3539886474609375,199630.112511,-0.893095076084137,-0.06723682582378387,-0.4713755249977112
2023-02-01T17:00:33.786-06:00,1211,199630.169967,-0.822998046875,-0.0162353515625,-0.301544189453125,199630.146235,-0.7597486972808838,0.02436606027185917,-0.5136324167251587
2023-02-01T17:00:33.814-06:00,1212,199630.203692,-0.8104705810546875,-0.02398681640625,-0.2811737060546875,199630.17996,-0.6741043925285339,0.03053580410778522,-0.5356490612030029
2023-02-01T17:00:33.849-06:00,1213,199630.237416,-0.898895263671875,0.0523834228515625,-0.2465667724609375,199630.213684,-0.5215744972229004,-0.100193977355957,-0.5341981649398804
2023-02-01T17:00:33.879-06:00,1214,199630.27114,-1.123153686523438,0.1135711669921875,-0.2476654052734375,199630.247409,-0.5105937719345093,-0.2921703457832336,-0.3892649412155151
2023-02-01T17:00:33.914-06:00,1215,199630.304865,-1.466293334960938,0.217132568359375,-0.2332305908203125,199630.281133,-0.7133002877235413,-0.3731520175933838,-0.210386797785759
2023-02-01T17:00:33.951-06:00,1216,199630.338589,-1.551559448242188,0.31085205078125,-0.41741943359375,199630.314857,-1.256573677062988,-0.4838771820068359,-0.08805955201387405
2023-02-01T17:00:33.986-06:00,1217,199630.372313,-1.361434936523438,0.015960693359375,-0.56298828125,199630.348582,-1.081372857093811,0.2255268692970276,0.5959925651550293
2023-02-01T17:00:34.014-06:00,1218,199630.406038,-1.187652587890625,-0.2145233154296875,-0.25750732421875,199630.382306,0.2737415432929993,0.9799452424049377,0.9348944425582886
2023-02-01T17:00:34.049-06:00,1219,199630.439762,-0.980224609375,-0.259613037109375,0.0781707763671875,199630.41603,1.226448774337769,1.066744327545166,0.7298731207847595
2023-02-01T17:00:34.084-06:00,1220,199630.473487,-0.7919769287109375,-0.2689056396484375,0.2774505615234375,199630.449755,1.298389554023743,0.558886706829071,0.3992251455783844
2023-02-01T17:00:34.119-06:00,1221,199630.507211,-0.6915130615234375,-0.1871337890625,0.130523681640625,199630.483479,0.3792764842510223,-0.09528683871030807,-0.00706829596310854
2023-02-01T17:00:34.151-06:00,1222,199630.540935,-0.6532440185546875,-0.082916259765625,-0.165863037109375,199630.517203,-0.1885243803262711,-0.3959691822528839,-0.1467838436365128
2023-02-01T17:00:34.187-06:00,1223,199630.5746604167,-0.67303466796875,-0.0500640869140625,-0.3137359619140625,199630.550928,0.2923623621463776,-0.6242542862892151,0.03689942881464958
2023-02-01T17:00:34.219-06:00,1224,199630.6083844167,-0.7743682861328125,-0.0742950439453125,-0.247222900390625,199630.5846524167,1.049386143684387,-0.4940270185470581,0.3414473533630371
2023-02-01T17:00:34.254-06:00,1225,199630.6421084167,-0.8620147705078125,-0.09185791015625,-0.1793975830078125,199630.6183764167,1.35396945476532,-0.3616639375686646,0.4239547252655029
2023-02-01T17:00:34.284-06:00,1226,199630.6758334167,-0.9168853759765625,-0.0811614990234375,-0.130035400390625,199630.6521014167,1.384536743164062,-0.3180826306343079,0.2999981641769409
2023-02-01T17:00:34.319-06:00,1227,199630.7095574167,-0.953887939453125,-0.0578765869140625,-0.1444854736328125,199630.6858254167,1.101390957832336,-0.2335722744464874,0.08128020912408829
2023-02-01T17:00:34.354-06:00,1228,199630.7432814167,-0.9549713134765625,-0.049285888671875,-0.1907501220703125,199630.7195494167,0.749948263168335,-0.06497660279273987,-0.1660571545362473
2023-02-01T17:00:34.389-06:00,1229,199630.7770064167,-0.89044189453125,-0.0246429443359375,-0.2100982666015625,199630.7532744167,0.5052732825279236,0.1472730785608292,-0.4498885869979858
2023-02-01T17:00:34.419-06:00,1230,199630.8107304167,-0.84295654296875,0.0210113525390625,-0.2058868408203125,199630.7869984167,0.3620221316814423,0.3366174399852753,-0.7032098174095154
2023-02-01T17:00:34.454-06:00,1231,199630.8444544167,-0.952178955078125,0.1906280517578125,-0.16741943359375,199630.8207224167,0.2519382238388062,0.4090953767299652,-0.8733687400817871
2023-02-01T17:00:34.489-06:00,1232,199630.8781794167,-1.196792602539062,0.3334503173828125,-0.1608428955078125,199630.8544474167,0.07133676111698151,0.2611311972141266,-0.7987576127052307
2023-02-01T17:00:34.524-06:00,1233,199630.9119034167,-1.442214965820312,0.3408355712890625,-0.277435302734375,199630.8881714167,-0.2562759816646576,-0.05014386028051376,-0.545134425163269
2023-02-01T17:00:34.554-06:00,1234,199630.9456274167,-1.581863403320312,0.5431976318359375,-0.3484954833984375,199630.9218964167,-0.4717214703559875,-0.2334588319063187,-0.6172996759414673
2023-02-01T17:00:34.589-06:00,1235,199630.9793524167,-1.508209228515625,0.3425445556640625,-0.3996124267578125,199630.9556204167,-0.5135035514831543,0.07374319434165955,0.0545833520591259
2023-02-01T17:00:34.624-06:00,1236,199631.0130764167,-1.252716064453125,0.220947265625,-0.304656982421875,199630.9893444167,-0.4342004358768463,0.4604914486408234,0.1210526525974274
2023-02-01T17:00:34.659-06:00,1237,199631.0468014167,-0.8781585693359375,0.1308135986328125,-0.1959991455078125,199631.0230694167,-0.5437474250793457,0.8418712615966797,0.179490402340889
2023-02-01T17:00:34.689-06:00,1238,199631.0805254167,-0.6562347412109375,0.0569915771484375,-0.0990447998046875,199631.0567934167,-0.6013433933258057,0.8868550062179565,0.2459599673748016
2023-02-01T17:00:34.724-06:00,1239,199631.1142494167,-0.5594482421875,0.0311126708984375,-0.04998779296875,199631.0905174167,-0.6441307663917542,0.5389721393585205,0.3348017036914825
2023-02-01T17:00:34.759-06:00,1240,199631.1479744167,-0.6025238037109375,-0.0295867919921875,-0.0994873046875,199631.1242424167,-0.685532808303833,0.05975361168384552,0.5436094999313354
2023-02-01T17:00:34.794-06:00,1241,199631.1816984167,-0.7381591796875,-0.1007232666015625,-0.159881591796875,199631.1579664167,-0.5959075689315796,-0.3733333647251129,0.639356255531311
2023-02-01T17:00:34.824-06:00,1242,199631.2154224167,-0.873992919921875,-0.197296142578125,-0.233184814453125,199631.1916914167,-0.5816839337348938,-0.6472104787826538,0.4847621619701385
2023-02-01T17:00:34.859-06:00,1243,199631.2491474167,-0.9187164306640625,-0.2056884765625,-0.2706298828125,199631.2254154167,-0.7602901458740234,-0.5981273055076599,-0.003693271661177278
2023-02-01T17:00:34.893-06:00,1244,199631.2828714167,-0.9093475341796875,-0.0919036865234375,-0.3317413330078125,199631.2591394167,-1.21288526058197,-0.2742877602577209,-0.5419354438781738
2023-02-01T17:00:34.928-06:00,1245,199631.3165964167,-0.903778076171875,-0.0155792236328125,-0.3758697509765625,199631.2928644167,-1.385452508926392,-0.1507900506258011,-0.8119195103645325
2023-02-01T17:00:34.959-06:00,1246,199631.3503204167,-0.839599609375,0.025787353515625,-0.389129638671875,199631.3265884167,-1.468212127685547,-0.04200097918510437,-0.9478256702423096
2023-02-01T17:00:34.993-06:00,1247,199631.3840444167,-0.743927001953125,0.0475616455078125,-0.4359588623046875,199631.3603124167,-1.566933989524841,0.1248955950140953,-0.9566466212272644
2023-02-01T17:00:35.028-06:00,1248,199631.4177694167,-0.72308349609375,0.0423431396484375,-0.4567413330078125,199631.3940374167,-1.305995583534241,0.2289000302553177,-0.7514580488204956
2023-02-01T17:00:35.067-06:00,1249,199631.4514934167,-0.91290283203125,0.115814208984375,-0.4327392578125,199631.4277614167,-0.732750415802002,0.03183116763830185,-0.3918015956878662
2023-02-01T17:00:35.093-06:00,1250,199631.4852174167,-1.268997192382812,0.05084228515625,-0.4770050048828125,199631.4614864167,-0.1650035977363586,-0.5201153755187988,0.1118668764829636
2023-02-01T17:00:35.128-06:00,1251,199631.5189424167,-1.7987060546875,0.2897491455078125,-0.468475341796875,199631.4952104167,0.09679232537746429,-0.9116873741149902,0.2251841127872467
2023-02-01T17:00:35.163-06:00,1252,199631.5526664167,-1.71209716796875,0.0005950927734375,-0.7909393310546875,199631.5289344167,-0.1305526793003082,-0.8566848635673523,0.7799336314201355
2023-02-01T17:00:35.198-06:00,1253,199631.586390875,-1.577682495117188,-0.3844451904296875,-0.5023193359375,199631.5626594167,1.228373408317566,0.4873480796813965,1.35202157497406
2023-02-01T17:00:35.228-06:00,1254,199631.620114875,-1.216567993164062,-0.3308258056640625,0.0117340087890625,199631.596382875,2.003639698028564,1.369742035865784,0.7260120511054993
2023-02-01T17:00:35.267-06:00,1255,199631.653838875,-0.8716583251953125,-0.2288970947265625,0.172637939453125,199631.630106875,1.476580381393433,1.079765319824219,0.1786174178123474
2023-02-01T17:00:35.298-06:00,1256,199631.687563875,-0.6871185302734375,-0.1381072998046875,-0.0095672607421875,199631.663831875,0.5740587711334229,0.1942914426326752,-0.2226850092411041
2023-02-01T17:00:35.333-06:00,1257,199631.721287875,-0.5480804443359375,-0.073211669921875,-0.23419189453125,199631.697555875,0.1367535889148712,0.1190699338912964,-0.2306443899869919
2023-02-01T17:00:35.363-06:00,1258,199631.755011875,-0.5325775146484375,-0.0431976318359375,-0.3566436767578125,199631.731280875,0.6298056244850159,0.01707831956446171,0.08381367474794388
2023-02-01T17:00:35.398-06:00,1259,199631.788736875,-0.5991363525390625,-0.0627288818359375,-0.248931884765625,199631.765004875,1.703696846961975,-0.1129915341734886,0.4214886426925659
2023-02-01T17:00:35.434-06:00,1260,199631.822460875,-0.6668853759765625,-0.1021728515625,-0.1581573486328125,199631.798728875,2.258224010467529,-0.1922149807214737,0.6050336956977844
2023-02-01T17:00:35.468-06:00,1261,199631.856185875,-0.7535247802734375,-0.0805511474609375,-0.1146392822265625,199631.832453875,2.284598827362061,-0.1606868803501129,0.5439554452896118
2023-02-01T17:00:35.498-06:00,1262,199631.889909875,-0.8497772216796875,-0.0443267822265625,-0.107147216796875,199631.866177875,2.019379854202271,-0.1781521588563919,0.3873517215251923
2023-02-01T17:00:35.533-06:00,1263,199631.923633875,-0.963043212890625,-0.0647735595703125,-0.1620025634765625,199631.899901875,1.620592951774597,-0.2794944941997528,0.1952890753746033
2023-02-01T17:00:35.568-06:00,1264,199631.957358875,-0.9947967529296875,-0.0507049560546875,-0.2065277099609375,199631.933626875,1.234039068222046,-0.2784228324890137,-0.1861807852983475
2023-02-01T17:00:35.603-06:00,1265,199631.991082875,-0.99755859375,0.0511016845703125,-0.2417144775390625,199631.967350875,0.7811576128005981,-0.06566609442234039,-0.6075908541679382
2023-02-01T17:00:35.634-06:00,1266,199632.024806875,-1.136581420898438,0.2844390869140625,-0.27777099609375,199632.001075875,0.4032593071460724,-7.110639853635803e-05,-0.894298255443573
2023-02-01T17:00:35.668-06:00,1267,199632.058531875,-1.375778198242188,0.3888092041015625,-0.3350067138671875,199632.034799875,0.197367399930954,-0.1675056368112564,-0.7160190939903259
2023-02-01T17:00:35.705-06:00,1268,199632.092255875,-1.711074829101562,0.5553131103515625,-0.365997314453125,199632.068523875,0.04406892508268356,-0.3234963119029999,-0.4730716943740845
2023-02-01T17:00:35.738-06:00,1269,199632.125980875,-1.656341552734375,0.4093475341796875,-0.48492431640625,199632.102248875,-0.2051326483488083,-0.2733995914459229,-0.05165653675794601
2023-02-01T17:00:35.768-06:00,1270,199632.159704875,-1.43939208984375,0.2216033935546875,-0.3270416259765625,199632.135972875,-0.03187590837478638,0.2442475557327271,0.1775055378675461
2023-02-01T17:00:35.803-06:00,1271,199632.193428875,-1.036468505859375,0.2115936279296875,-0.2023468017578125,199632.169696875,-0.4122176468372345,0.5776713490486145,-0.04558186605572701
2023-02-01T17:00:35.838-06:00,1272,199632.227153875,-0.702880859375,0.136749267578125,-0.158294677734375,199632.203421875,-0.8642333149909973,0.8747717142105103,0.08467547595500946
2023-02-01T17:00:35.873-06:00,1273,199632.260877875,-0.525634765625,0.0766754150390625,-0.11767578125,199632.237145875,-0.8433155417442322,0.6171995401382446,0.2149453312158585
2023-02-01T17:00:35.907-06:00,1274,199632.294601875,-0.47113037109375,0.051422119140625,-0.1224365234375,199632.270870875,-0.7671595215797424,0.09236162155866623,0.3949611783027649
2023-02-01T17:00:35.938-06:00,1275,199632.328326875,-0.5601959228515625,-0.0064239501953125,-0.1937713623046875,199632.304594875,-0.7302718162536621,-0.3189092874526978,0.7086887359619141
2023-02-01T17:00:35.973-06:00,1276,199632.362050875,-0.7532806396484375,-0.1318817138671875,-0.2493743896484375,199632.338318875,-0.584134042263031,-0.6098614931106567,0.953553318977356
2023-02-01T17:00:36.008-06:00,1277,199632.395775875,-0.9302978515625,-0.2750244140625,-0.2908782958984375,199632.372043875,-0.4971684813499451,-0.8501877784729004,0.7884852886199951
2023-02-01T17:00:36.038-06:00,1278,199632.429499875,-0.9579620361328125,-0.282012939453125,-0.2869110107421875,199632.405767875,-0.7747005224227905,-0.6346664428710938,0.2003181874752045
2023-02-01T17:00:36.073-06:00,1279,199632.463223875,-0.933837890625,-0.164703369140625,-0.3411865234375,199632.439491875,-1.311956763267517,-0.2684588730335236,-0.4246482253074646
2023-02-01T17:00:36.108-06:00,1280,199632.496948875,-0.9113311767578125,-0.0256500244140625,-0.329620361328125,199632.473216875,-1.478755593299866,-0.2056231945753098,-0.8379710912704468
2023-02-01T17:00:36.143-06:00,1281,199632.530672875,-0.868255615234375,0.0881805419921875,-0.3543853759765625,199632.506940875,-1.798397541046143,-0.1400963813066483,-1.048766732215881
2023-02-01T17:00:36.173-06:00,1282,199632.564396875,-0.7884063720703125,0.1094970703125,-0.416046142578125,199632.540665875,-2.071006298065186,0.05110925808548927,-1.011017441749573
2023-02-01T17:00:36.208-06:00,1283,199632.5981215417,-0.7530670166015625,0.066864013671875,-0.4307403564453125,199632.5743895417,-1.883672714233398,0.1210947334766388,-0.8136601448059082
2023-02-01T17:00:36.242-06:00,1284,199632.6318455417,-0.94036865234375,0.1216278076171875,-0.4141693115234375,199632.6081135417,-1.452208161354065,-0.06663654744625092,-0.5732288956642151
2023-02-01T17:00:36.277-06:00,1285,199632.6655705417,-1.272262573242188,0.1765289306640625,-0.4238739013671875,199632.6418385417,-1.114657759666443,-0.3949073851108551,-0.2770012319087982
2023-02-01T17:00:36.307-06:00,1286,199632.6992945417,-1.80084228515625,0.463653564453125,-0.406768798828125,199632.6755625417,-1.115782499313354,-0.737762987613678,-0.023207051679492
2023-02-01T17:00:36.342-06:00,1287,199632.7330185417,-1.5821533203125,0.0105438232421875,-0.8344573974609375,199632.7092865417,-1.53155255317688,-0.6553967595100403,0.8181614279747009
2023-02-01T17:00:36.377-06:00,1288,199632.7667435417,-1.395248413085938,-0.287994384765625,-0.471038818359375,199632.7430115417,0.1707592308521271,0.8643909692764282,1.403539896011353
2023-02-01T17:00:36.412-06:00,1289,199632.8004675417,-1.252471923828125,-0.2563018798828125,-0.0746917724609375,199632.7767355417,1.407584190368652,1.061770915985107,1.208237051963806
